size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024.0,3.324467777777778,0.26682026666666664,0.014363733333333331,12.913268666666665,84.84044888888889
20000000,1024.0,6.512347999999999,0.5011960888888887,0.01854435555555555,10.520860222222222,77.59851777777779
30000000,1024.0,9.710207555555558,0.7321002666666666,0.018830222222222224,15.538855555555559,87.53609999999999
40000000,1024.0,12.897135555555558,0.9629859555555556,0.018848711111111107,16.791606666666667,91.18941999999998
50000000,1024.0,16.13839333333333,1.1937371111111112,0.01855857777777778,24.785911111111105,101.07415333333336
60000000,1024.0,19.33362,1.425395777777778,0.01906844444444444,25.676162222222217,102.95141555555554
70000000,1024.0,22.53964444444445,1.6557724444444442,0.01867733333333333,33.235886666666666,109.0149111111111
80000000,1024.0,25.722382222222222,1.8867884444444445,0.019190755555555553,33.988119999999995,111.42066888888888
90000000,1024.0,28.91997111111111,2.1193204444444445,0.01920284444444444,37.784708888888886,116.97461555555557
100000000,1024.0,32.12276222222222,2.348398888888889,0.019431111111111114,39.81228888888888,111.99571333333336
