,Sequential,Parallel,Speeup
Map,2.4766017377777776,0.42451465977777786,5.833960455156514
Reduce,1.8296175044444445,0.2986422057777778,6.126453224116214
Zip,3.8191838577777775,0.6124481644444445,6.235929960280283
Total,8.1254031,1.33560503,18.19634363955301
