size,map_duration,reduce_duration,zip_duration
10000000,44.7708,33.0286,69.7547
20000000,93.5927,66.4541,138.168
30000000,131.746,99.4182,207.831
40000000,178.199,132.683,277.263
50000000,223.214,165.415,344.916
60000000,264.066,198.858,418.428
70000000,309.863,233.879,482.318
80000000,358.783,266.414,553.99
90000000,422.038,302.9,627.122
100000000,466.813,333.987,693.284
