size,map_duration,reduce_duration,zip_duration
10000000,44.6639,33.0314,69.319
20000000,89.7064,66.5143,138.535
30000000,140.68,99.4638,209.618
40000000,186.908,133.101,276.718
50000000,221.044,166.206,349.81
60000000,279.236,198.589,418.055
70000000,312.964,234.995,483.523
80000000,354.542,265.293,556.974
90000000,420.478,300.155,631.357
100000000,443.346,333.72,695.912
