size,map_duration,reduce_duration,zip_duration
10000000,44.3817,33.1507,69.3598
20000000,93.8406,66.5103,139.507
30000000,133.677,99.0467,208.83
40000000,185.902,132.529,276.859
50000000,222.217,165.958,349.144
60000000,284.87,199.213,418.374
70000000,331.817,232.852,488.057
80000000,357.266,265.897,553.789
90000000,400.905,298.699,621.891
100000000,445.125,331.604,693.554
