size,map_duration,reduce_duration,zip_duration
10000000,46.9454,33.4467,68.7373
20000000,89.0759,66.3428,138.089
30000000,132.401,100.894,211.213
40000000,178.657,133.22,276.512
50000000,232.156,168.036,348.459
60000000,278.954,199.403,416.731
70000000,312.663,233.113,483.743
80000000,356.117,269.524,556.293
90000000,402.004,301.949,622.508
100000000,441.348,336.796,694.32
