size,map_duration,reduce_duration,zip_duration
10000000,44.4703,33.3954,69.6127
20000000,93.9646,66.2751,137.823
30000000,133.787,99.6915,211.818
40000000,177.855,132.561,277.663
50000000,231.503,165.884,348.693
60000000,277.738,199.214,416.141
70000000,309.216,232.087,487.449
80000000,374.784,267.285,557.385
90000000,399.962,298.994,626.423
100000000,438.437,332.686,692.141
