size,map_duration,reduce_duration,zip_duration
10000000,44.5924,33.0396,69.405
20000000,95.3532,68.1439,140.983
30000000,138.192,99.5503,209.061
40000000,177.608,133.177,277.908
50000000,241.741,166.067,346.443
60000000,267.095,199.216,414.881
70000000,309.104,231.963,485.44
80000000,356.536,266.861,553.95
90000000,402.969,298.402,624.49
100000000,468.282,331.146,696.827
