size,map_duration,reduce_duration,zip_duration
10000000,45.1902,33.26,69.2017
20000000,89.3671,66.2948,138.689
30000000,131.253,99.1924,208.276
40000000,178.237,132.778,279.68
50000000,222.954,165.762,347.51
60000000,264.766,198.72,414.83
70000000,313.7,234.727,485.12
80000000,356.06,265.388,558.001
90000000,397.676,297.995,622.681
100000000,446.844,332.94,694.166
