size,map_duration,reduce_duration,zip_duration
10000000,45.1608,34.1951,70.767
20000000,88.901,66.466,138.253
30000000,139.817,99.6519,208.478
40000000,178.055,132.783,280.246
50000000,222.733,166.793,346.539
60000000,267.448,199.869,418.706
70000000,323.9,233.613,488.103
80000000,356.275,266.706,555.876
90000000,394.299,298.476,625.872
100000000,443.837,333.46,694.68
