size,map_duration,reduce_duration,zip_duration
10000000,44.5702,33.2136,68.9578
20000000,88.6555,66.3077,138.384
30000000,133.303,100.181,210.194
40000000,178.18,133.853,280.141
50000000,235.115,166.18,347.84
60000000,266.371,198.711,415.287
70000000,311.246,231.404,488.74
80000000,355.833,265.776,555.103
90000000,424.97,299.949,626.658
100000000,440.96,333.643,695.306
