size,map_duration,reduce_duration,zip_duration
10000000,44.6978,33.1935,69.0813
20000000,93.7527,66.4593,138.086
30000000,140.665,99.2014,208.752
40000000,179.129,132.589,276.63
50000000,222.794,166.148,348.522
60000000,266.412,198.984,415.959
70000000,330.549,235.713,484.01
80000000,355.367,265.045,558.501
90000000,400.563,300.553,624.047
100000000,464.859,331.744,694.98
