size,map_duration,reduce_duration,zip_duration
10000000,43.7571,33.0492,69.2929
20000000,88.0875,66.5396,138.525
30000000,132.646,99.453,208.104
40000000,179.02,133.185,276.284
50000000,220.098,166.64,345.917
60000000,277.971,198.401,416.938
70000000,328.466,232.962,491.721
80000000,354.39,266.583,557.154
90000000,397.835,299.76,623.874
100000000,469.389,331.645,696.32
