size,map_duration,reduce_duration,zip_duration
10000000,45.4639,34.1124,70.2643
20000000,88.6659,67.1793,138.697
30000000,131.813,99.6121,208.922
40000000,186.436,132.689,280.028
50000000,232.127,165.627,346.235
60000000,267.46,198.253,419.671
70000000,311.608,232.799,485.847
80000000,375.32,265.75,556.165
90000000,400.083,299.15,622.491
100000000,438.155,331.472,692.832
