size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26352,0.167904,3.15283,8.0137,74.9369,3.65331,0.295424,0.009952,5.30774,5.31547,6.50288,0.227264,3.14851,12.3788,12.3867
20000000,1024,6.46275,0.328352,6.23997,14.835,74.7339,7.93994,0.582176,0.01056,10.2283,10.2362,12.9008,0.444704,6.23226,23.5956,23.6041
30000000,1024,9.66173,0.47168,9.50787,36.2231,137.094,10.1898,0.866912,0.010592,14.4739,14.4849,19.7666,0.662112,9.29475,32.8893,32.8973
40000000,1024,12.8703,0.618848,12.431,27.9476,130.903,19.743,1.63958,0.010944,54.0695,54.0776,25.7907,0.869248,12.4443,45.5831,45.5921
50000000,1024,16.0584,0.763616,15.4836,35.465,96.3783,22.4426,1.70435,0.01072,26.0897,26.0983,34.1907,1.0895,15.6046,55.8372,55.846
60000000,1024,19.245,0.920352,18.5558,44.6215,116.984,24.7559,1.72429,0.011648,30.0801,30.0893,38.7337,1.32038,18.5808,65.194,65.2029
70000000,1024,22.4535,1.07251,21.6525,48.5123,108.865,29.8172,2.01507,0.014752,35.5896,35.5992,45.8876,1.53795,21.6893,74.9498,74.9584
80000000,1024,25.6525,1.22224,24.7227,54.9792,123.758,34.8595,2.29594,0.01072,39.2886,39.2966,54.0778,1.75648,24.7565,86.478,86.4865
90000000,1024,28.8541,1.37152,27.7995,63.2894,130.771,38.8716,2.57254,0.014208,45.1962,45.2058,60.1237,1.97482,27.9749,96.1304,96.1391
100000000,1024,32.0505,1.52336,30.8784,68.0838,129.146,44.2134,2.85677,0.010752,49.4171,49.4247,68.3686,2.19622,30.9232,107.62,107.628
