size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.39565,0.188288,3.84445,9.52403,69.6963,3.42611,0.295808,0.018208,5.43786,5.44812,6.51005,0.22912,3.14979,12.4023,12.4114
20000000,1024,6.45485,0.323616,6.22234,42.5637,141.906,7.44003,0.576416,0.01024,9.85805,9.8663,13.0027,0.441568,6.21267,23.0151,23.0229
30000000,1024,9.66298,0.47024,9.3385,22.7917,84.408,12.6913,1.23187,0.010464,17.509,17.5181,19.5701,0.653024,9.34685,34.6027,34.6125
40000000,1024,12.9184,0.616416,12.4275,27.9972,88.8628,19.8015,1.61651,0.011488,23.3266,23.3351,27.9911,0.867264,12.4286,45.9431,45.9527
50000000,1024,16.1425,0.76528,15.6777,55.4598,122.083,21.4502,1.67478,0.01072,25.7073,25.7164,33.34,1.0929,15.5046,55.6833,55.6931
60000000,1024,19.2568,0.9232,18.5612,41.9746,105.481,25.2856,1.70778,0.011072,29.0844,29.0924,40.5145,1.32032,18.5842,65.4349,65.4435
70000000,1024,22.53,1.07379,21.6448,49.5029,110.004,30.1139,1.98899,0.011392,34.2092,34.2176,46.9223,1.54109,21.6772,76.0102,76.0191
80000000,1024,25.657,1.22451,24.7272,55.0305,119.799,34.5265,2.27248,0.01104,48.9053,48.9152,51.8581,1.75686,24.7584,85.9441,85.9549
90000000,1024,28.8419,1.37219,27.7769,61.5258,121.799,38.915,2.55546,0.010816,45.3093,45.3182,59.7125,1.97773,27.8137,96.9055,96.9136
100000000,1024,32.0213,1.52435,30.8723,68.1056,170.298,43.5889,2.83901,0.011392,50.2122,50.2208,66.8143,2.19645,31.0422,107.514,107.522
