size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26026,0.1672,3.14448,8.00093,72.057,3.64832,0.29536,0.009568,5.30842,5.31634,6.49277,0.22096,3.1391,12.2915,12.2991
20000000,1024,6.46896,0.321344,6.23514,44.1087,145.098,7.38598,0.582304,0.01168,9.9281,9.93773,12.9485,0.44592,6.23085,23.3274,23.3377
30000000,1024,9.66282,0.468416,9.33354,21.3936,81.892,14.4682,1.23306,0.011296,17.521,17.5293,20.9723,0.65152,9.33142,34.1364,34.1446
40000000,1024,12.8727,0.611936,12.4103,28.9281,125.207,18.7502,1.63994,0.01136,50.6188,50.6278,26.4646,0.871072,12.4455,45.4443,45.4543
50000000,1024,16.0579,0.76464,15.5127,35.5372,98.3763,24.1501,2.05261,0.013856,28.2482,28.2572,35.1202,1.08365,15.539,56.7194,56.729
60000000,1024,19.2573,0.920384,18.5567,42.016,109.653,25.008,1.72454,0.011232,38.727,38.7361,38.5603,1.32448,18.5886,64.5267,64.5362
70000000,1024,22.4298,1.07152,21.6531,48.4946,109.163,29.8062,2.00966,0.01072,35.5,35.509,45.891,1.53907,21.6816,74.9663,74.9747
80000000,1024,25.6564,1.22333,24.7371,55.6961,128.625,34.9102,2.29629,0.011264,39.377,39.3852,54.8297,1.75942,24.7594,105.487,105.496
90000000,1024,28.9292,1.37286,28.0262,62.9498,162.831,37.862,2.57216,0.011584,45.7509,45.7594,59.5913,1.97709,28.0387,97.1538,97.1623
100000000,1024,32.0471,1.5216,30.8965,68.0641,134.548,44.2154,2.86093,0.014304,49.4984,49.5068,68.3134,2.19456,30.922,107.552,107.56
