size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.39392,0.16976,3.15229,8.21901,73.8672,3.60835,0.290688,0.010528,5.30557,5.31343,6.51418,0.222944,3.14605,12.561,12.5695
20000000,1024,6.45674,0.323328,6.22698,43.9646,142.995,6.45347,0.575936,0.010624,10.869,10.8783,12.8994,0.444448,6.23325,23.637,23.6461
30000000,1024,9.68278,0.471264,9.30307,22.4734,89.6304,13.4458,1.23146,0.0112,16.495,16.5032,20.4535,0.650656,9.3111,35.2282,35.2373
40000000,1024,12.8814,0.619616,12.4238,27.934,117.839,19.9605,1.63562,0.01072,50.0135,50.0229,26.9408,0.868096,12.4178,44.2318,44.2411
50000000,1024,16.0587,0.763136,15.4853,35.5029,102.463,22.5609,1.73738,0.01136,26.2606,26.2691,34.2899,1.08973,15.5158,55.8793,55.888
60000000,1024,19.2367,0.922368,18.5648,41.9951,103.082,24.9944,1.70586,0.010208,30.3398,30.3486,38.6805,1.32125,18.5771,64.3752,64.3838
70000000,1024,22.4308,1.0745,21.647,48.5146,113.906,29.9721,1.98979,0.010784,34.08,34.0882,47.6054,1.5416,21.6891,75.9541,75.9623
80000000,1024,25.8366,1.22403,24.7359,55.2499,150.012,34.1333,2.27597,0.014688,40.2029,40.2122,53.1727,1.75914,24.7493,85.5899,85.598
90000000,1024,28.8181,1.37146,27.796,63.8534,167.503,39.3272,2.55366,0.0112,45.144,45.1517,59.0188,1.97984,28.0429,96.7759,96.7844
100000000,1024,32.0214,1.51949,30.8741,68.0172,166.282,43.5882,2.8368,0.014528,50.2215,50.2301,66.1682,2.19661,30.9128,107.381,107.389
