size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26605,0.169856,3.14416,8.03133,115.249,3.83584,0.29584,0.010752,5.52147,5.52926,6.50077,0.226656,3.14669,12.3904,12.3986
20000000,1024,6.46512,0.322624,6.22858,14.8356,73.8407,7.9401,0.580768,0.009504,10.2163,10.2242,12.8989,0.443008,6.22189,22.5717,22.5797
30000000,1024,9.68762,0.470976,9.32947,22.5174,83.3648,13.4428,1.2336,0.010816,16.5214,16.5301,20.4605,0.654048,9.3583,35.3566,35.3664
40000000,1024,12.8953,0.615488,12.4173,35.6935,138.536,18.5363,1.61066,0.010144,22.6968,22.7053,27.8951,0.867392,12.4476,62.2829,62.2939
50000000,1024,16.0863,0.762784,15.5065,35.5548,97.2891,24.1082,2.0129,0.011712,28.0836,28.0918,35.0967,1.08355,15.6107,56.749,56.7581
60000000,1024,19.2562,0.916128,18.5702,41.9952,106.961,26.4361,1.89501,0.0112,30.3511,30.3591,41.0096,1.31408,18.5931,65.9594,65.9679
70000000,1024,22.4354,1.07226,21.7734,48.6568,144.805,29.5777,2.01078,0.011008,36.2322,36.2414,45.8545,1.53971,21.5891,74.8532,74.8621
80000000,1024,25.6524,1.22224,24.7328,55.034,115.549,34.4036,2.29667,0.011072,40.3972,40.4057,53.0188,1.75709,24.7573,85.4465,85.4548
90000000,1024,28.8553,1.37277,27.8072,61.5731,158.92,39.2157,2.57018,0.010848,46.4424,46.4507,57.7492,1.9767,28.0348,96.0707,96.0791
100000000,1024,32.0535,1.52195,30.8843,68.0935,131.319,43.7916,2.85702,0.010912,50.4349,50.4439,67.2625,2.19517,30.9304,106.405,106.413
