size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.27011,0.184448,3.49357,40.6104,148.015,3.26826,0.295776,0.011072,6.82198,6.83144,6.50374,0.226784,3.13802,12.5017,12.5099
20000000,1024,6.46995,0.321664,6.22262,14.8355,75.9931,7.92077,0.58128,0.010912,10.238,10.2464,12.9038,0.444608,6.22038,22.643,22.6517
30000000,1024,9.66893,0.47056,9.34352,22.6028,87.7981,12.7073,1.23456,0.010592,17.5832,17.5925,19.5041,0.653184,9.35616,34.5322,34.5418
40000000,1024,12.8981,0.618112,12.4507,28.0044,126.314,19.9387,1.63862,0.010656,23.4785,23.4866,27.8991,0.867424,12.4552,45.8802,45.8893
50000000,1024,16.0898,0.763296,15.5096,34.4678,103.791,25.2638,2.04845,0.010784,29.2637,29.2726,35.4246,1.08426,15.5393,56.7759,56.7857
60000000,1024,19.2568,0.923104,18.564,42.0189,145.006,25.552,1.72282,0.009568,38.0697,38.078,39.3587,1.31962,18.5787,65.0131,65.0216
70000000,1024,22.453,1.07203,21.6477,48.5024,107.533,30.3435,2.0105,0.012256,34.4543,34.4627,47.6836,1.53834,21.6932,76.0217,76.0299
80000000,1024,25.683,1.22483,24.9248,84.8758,147.107,34.308,2.28643,0.010496,40.2977,40.3062,52.7001,1.75667,24.9558,86.6965,86.705
90000000,1024,29.0632,1.37117,27.8057,83.9559,178.4,39.0219,2.57638,0.015424,44.293,44.3019,61.2796,1.97613,27.8423,97.0435,97.052
100000000,1024,32.0462,1.52323,30.8851,68.0998,138.04,44.2478,2.85542,0.011712,49.4603,49.4681,68.3163,2.19648,30.9193,107.448,107.457
