size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26166,0.170112,3.14122,8.00016,77.5436,3.65757,0.295904,0.00976,5.30544,5.31358,6.49542,0.22576,3.16272,12.356,12.3642
20000000,1024,6.46483,0.321312,6.2249,14.8351,74.6243,7.91248,0.579968,0.010144,10.2277,10.2361,12.8988,0.441568,6.22118,22.8212,22.8289
30000000,1024,9.70291,0.470912,9.36278,51.396,121.158,14.6268,1.23341,0.010464,17.6439,17.6525,20.4372,0.650592,9.34698,35.0106,35.0203
40000000,1024,12.8756,0.617856,12.415,27.9514,91.397,19.7383,1.64086,0.010912,23.3018,23.3103,28.0046,0.867488,12.4535,45.9736,45.9829
50000000,1024,16.0579,0.76656,15.4722,34.3624,103.526,22.5753,1.52899,0.011808,26.0197,26.0279,33.9869,1.09498,15.5808,55.3856,55.3945
60000000,1024,19.2684,0.914144,18.8218,42.3174,145.894,29.2609,2.45328,0.010848,33.7887,33.797,42.5527,1.31917,18.5906,67.5167,67.5257
70000000,1024,22.5782,1.07421,21.847,50.2156,146.669,22.4746,2.0023,0.011104,56.8713,56.8797,46.0626,1.53936,21.6572,75.1207,75.1292
80000000,1024,25.6544,1.22419,24.719,55.0696,118.147,34.415,2.2959,0.01248,40.4403,40.4492,53.0856,1.75872,24.754,85.5194,85.5281
90000000,1024,29.0625,1.37174,27.7046,61.7004,165.713,39.0013,2.57674,0.017856,45.4636,45.4727,60.2915,1.97408,27.7297,95.9535,95.9619
100000000,1024,32.04,1.5231,31.0937,68.3422,170.502,43.6588,2.86144,0.015616,50.3962,50.4053,66.8493,2.19773,31.1338,107.697,107.705
