size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26653,0.168896,3.14138,8.11709,67.8896,3.65165,0.293152,0.010336,5.28474,5.29254,6.51008,0.226112,3.13453,12.3374,12.3466
20000000,1024,6.67878,0.337152,6.76973,34.7038,104.421,6.84816,0.579488,0.010176,9.84112,9.85235,12.8996,0.443936,6.22285,23.5662,23.5752
30000000,1024,9.68054,0.470752,9.33638,22.4998,84.2907,13.4439,1.23197,0.01072,16.4948,16.5032,20.4333,0.651328,9.34723,35.2438,35.2529
40000000,1024,12.8995,0.616992,12.3955,27.9411,93.758,19.8934,1.6375,0.011744,23.4072,23.4153,25.7882,0.866336,12.4104,64.0477,64.0568
50000000,1024,16.1223,0.7672,15.4785,65.2436,128.033,21.9428,1.6345,0.009984,25.5276,25.5353,34.009,1.09392,15.4995,55.5704,55.5791
60000000,1024,19.2954,0.917728,18.6081,42.0847,102.729,28.9534,2.45126,0.011264,35.0724,35.082,40.8161,1.30618,18.6087,66.5422,66.551
70000000,1024,22.4851,1.05334,21.6779,48.8464,146.924,31.9829,2.45018,0.0104,38.4247,38.4339,45.0347,1.52317,21.7084,76.1702,76.1792
80000000,1024,25.8683,1.22458,24.7225,55.2169,156.942,34.1667,2.27206,0.011808,40.1394,40.1482,52.8858,1.75629,24.7837,86.6822,86.6903
90000000,1024,28.8539,1.37114,27.777,61.5321,121.558,39.4891,2.55331,0.010432,44.2954,44.3031,61.2058,1.9777,27.8113,96.9949,97.0028
100000000,1024,32.0127,1.52374,30.8892,68.0467,127.541,43.5895,2.83722,0.010368,50.2894,50.2983,67.2244,2.19517,31.1616,107.649,107.657
