size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.27507,0.168928,3.15955,8.00336,107.637,3.65558,0.29296,0.010144,5.28531,5.29355,6.71594,0.22416,3.14928,12.4992,12.5076
20000000,1024,6.46237,0.321952,6.23005,14.8236,75.6085,7.88182,0.573536,0.010048,10.177,10.1853,12.8963,0.443296,6.22678,22.5996,22.6082
30000000,1024,9.69018,0.470784,9.35846,21.462,83.9186,14.4902,1.23024,0.01056,17.5263,17.5352,20.6375,0.652544,9.36851,35.2652,35.2746
40000000,1024,12.8763,0.617312,12.4232,61.316,173.103,18.0348,1.63498,0.011008,23.3015,23.3112,26.3694,0.868384,12.6331,45.0135,45.0237
50000000,1024,16.0954,0.767072,15.4691,44.2334,139.556,21.5152,1.53949,0.011232,40.2798,40.2878,32.1229,1.09738,15.5006,56.0239,56.033
60000000,1024,19.2559,0.922464,18.5537,41.9893,102.722,25.5267,1.71238,0.014976,29.3439,29.3521,40.5739,1.3209,18.577,65.482,65.491
70000000,1024,22.4579,1.07152,21.698,49.3384,123.991,28.7278,1.98938,0.011008,33.6293,33.6375,46.8674,1.53923,21.6809,76.0611,76.0698
80000000,1024,25.6251,1.2239,24.7215,54.9946,118.883,34.8541,2.27136,0.010976,39.2704,39.278,54.7307,1.75766,24.7531,86.4184,86.4267
90000000,1024,28.8538,1.37203,27.6767,86.2667,185.103,37.5942,2.5544,0.01008,44.4101,44.4213,59.0473,1.97661,27.9329,97.0341,97.0423
100000000,1024,32.0533,1.52499,31.1087,77.7255,185.843,43.3661,2.8375,0.0112,50.1188,50.1276,67.0858,2.19654,30.937,107.666,107.674
