size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.41731,0.179392,3.17875,8.65312,113.014,3.49744,0.295232,0.01312,5.39005,5.39995,6.51709,0.22736,3.15309,12.5702,12.5808
20000000,1024,6.456,0.322816,6.22714,15.3138,75.0887,7.55008,0.573472,0.009824,9.78899,9.79653,12.8988,0.444416,6.23414,23.6612,23.6699
30000000,1024,9.65258,0.472896,9.30861,21.3456,79.8138,12.5237,0.856992,0.009888,15.1665,15.1744,19.9771,0.661984,9.41894,33.1795,33.1875
40000000,1024,12.9542,0.627936,12.4556,60.8963,133.376,19.7332,1.63789,0.010304,23.2895,23.298,27.9376,0.867712,12.647,46.8579,46.8674
50000000,1024,16.0933,0.764096,15.5116,35.5307,100.924,23.5131,2.04698,0.012864,28.1447,28.1542,34.3721,1.08298,15.5425,56.7626,56.7717
60000000,1024,19.2388,0.922752,18.5598,42.136,104.25,25.6849,1.70576,0.0112,45.5063,45.5154,38.5172,1.32202,18.5795,65.8647,65.8747
70000000,1024,22.4565,1.07011,21.6159,48.8811,115.733,22.4761,1.98925,0.011712,56.1976,56.2056,47.6568,1.54013,21.6374,75.9882,75.9962
80000000,1024,25.6617,1.22259,24.7248,55.0614,116.534,34.2557,2.27194,0.0112,40.2528,40.2614,52.6438,1.75936,24.7621,86.502,86.5103
90000000,1024,29.0053,1.37181,27.8087,91.8417,165.52,39.2899,2.55514,0.01136,44.0769,44.0848,61.2464,1.97709,27.8357,97.0019,97.0105
100000000,1024,32.0337,1.52266,30.8704,68.0722,134.269,43.4761,2.83882,0.010848,50.2187,50.2276,67.2233,2.19664,31.1207,106.553,106.561
