size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.38902,0.168224,3.14352,8.12758,66.9152,3.66771,0.295168,0.00944,5.30829,5.31623,6.5033,0.22576,3.1472,12.3988,12.4067
20000000,1024,6.46272,0.322656,6.42253,15.009,116.925,7.93462,0.579744,0.010176,40.5319,40.5405,12.8991,0.445216,6.2257,22.765,22.7734
30000000,1024,9.68698,0.471488,9.3304,23.0133,87.4513,12.7065,1.23539,0.011776,17.5293,17.5389,19.498,0.652544,9.34678,34.5304,34.5402
40000000,1024,12.8689,0.614464,12.3689,41.4413,137.804,18.261,1.5567,0.010336,22.3507,22.359,27.7133,0.86768,12.3951,45.6115,45.6209
50000000,1024,16.0568,0.76528,15.4814,34.3701,93.2043,22.9858,1.60579,0.010112,26.5126,26.5208,34.1579,1.09274,15.5875,55.5421,55.551
60000000,1024,19.2469,0.922112,18.5612,42.0848,109.818,24.993,1.72522,0.010144,30.4023,30.4109,38.7315,1.31978,18.5798,64.4534,64.4625
70000000,1024,22.4388,1.07117,21.6443,48.5351,109.884,29.6856,2.0129,0.011296,35.4242,35.4332,45.8883,1.53834,21.6752,74.9544,74.9627
80000000,1024,25.7294,1.22317,24.7047,56.0359,116.703,34.825,2.29523,0.012224,39.2922,39.3003,54.0717,1.75763,24.7361,86.4749,86.4838
90000000,1024,28.8547,1.37187,27.7004,77.8572,148.818,38.858,2.57142,0.01184,45.281,45.2903,59.8088,1.97533,27.9026,97.0566,97.0646
100000000,1024,32.0482,1.52262,30.882,68.0838,128.007,44.0326,2.85648,0.010816,49.3616,49.3693,68.3156,2.19709,30.9277,107.485,107.494
