size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.39088,0.168512,3.13334,8.0953,67.5945,3.66093,0.293408,0.010144,5.27872,5.28646,6.51126,0.226848,3.13952,12.3293,12.3372
20000000,1024,6.46285,0.323968,6.43434,15.0233,112.902,7.90646,0.573888,0.010464,10.1743,10.1821,12.9105,0.445024,6.24486,54.6248,54.6334
30000000,1024,9.75606,0.470496,9.31318,23.1067,84.1979,13.4534,1.23334,0.01184,16.4961,16.5045,20.2536,0.65168,9.31674,35.1412,35.1505
40000000,1024,12.8809,0.61584,12.413,29.004,97.5952,18.0894,1.61936,0.011104,23.3424,23.3518,26.4533,0.867328,12.4442,44.8946,44.904
50000000,1024,16.0567,0.767296,15.4714,35.4759,97.462,20.7755,1.51904,0.011136,24.885,24.8936,32.8298,1.09654,15.4959,55.1856,55.1941
60000000,1024,19.2325,0.922368,18.5592,41.991,106.804,25.4523,1.71226,0.015392,41.1196,41.1282,38.4915,1.32045,18.5916,65.0793,65.088
70000000,1024,22.5701,1.07354,21.65,48.661,112.77,29.4625,1.98986,0.010528,35.1199,35.1292,45.7314,1.54054,21.6708,76.1292,76.1378
80000000,1024,25.6505,1.2232,24.7268,82.3889,176.627,34.0356,2.2783,0.015072,40.1338,40.1441,52.6175,1.75808,24.9457,86.6019,86.6105
90000000,1024,28.8308,1.37261,27.8025,61.5475,123.19,39.4707,2.55482,0.010528,44.2819,44.2904,61.1474,1.97904,27.8401,96.9483,96.9565
100000000,1024,32.266,1.52336,30.8405,68.2601,168.871,43.4344,2.83782,0.0112,50.1161,50.1249,66.9219,2.1959,30.8756,130.855,130.866
