size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26886,0.168736,3.13942,7.98474,112.969,3.66605,0.29616,0.010752,5.30333,5.31108,6.50653,0.226176,3.13824,42.0829,42.091
20000000,1024,6.46096,0.322144,6.21462,15.3391,81.7683,6.70176,0.582496,0.00976,10.3462,10.3549,12.915,0.442368,6.21536,23.5838,23.5927
30000000,1024,9.66678,0.470016,9.29792,21.35,82.6817,14.4746,1.23174,0.011136,17.5213,17.5294,20.6396,0.653888,9.324,35.2251,35.2345
40000000,1024,12.8813,0.616192,12.4244,29.0271,91.643,17.9697,1.6104,0.011072,23.1978,23.2071,26.4523,0.867776,12.4401,44.8895,44.899
50000000,1024,16.054,0.768256,15.476,35.4991,101.793,21.3898,1.52806,0.010432,24.8816,24.8897,33.6974,1.09795,15.4972,55.2666,55.2753
60000000,1024,19.2411,0.922592,18.4955,41.9393,104.628,25.0964,1.72394,0.01024,30.4807,30.4894,38.7331,1.32086,18.5083,65.4172,65.4257
70000000,1024,22.6494,1.07222,21.6607,48.6961,142.187,29.6036,2.00986,0.011968,37.0713,37.081,44.8959,1.53933,21.8728,75.7661,75.7745
80000000,1024,25.7275,1.2232,24.7282,85.4495,191.905,34.7549,2.28637,0.013184,39.2433,39.2513,54.1411,1.75955,24.752,86.5561,86.5647
90000000,1024,28.8591,1.37046,27.804,93.7906,194.64,38.9326,2.57613,0.0184,45.3453,45.3552,59.7538,1.9793,27.8528,97.0039,97.013
100000000,1024,32.018,1.52214,30.9541,68.0771,133.767,44.0645,2.85635,0.0112,49.3461,49.3539,68.3142,2.19606,31.0199,107.538,107.546
