size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26339,0.168448,3.14445,8.03533,77.2547,3.62211,0.293216,0.011008,5.27968,5.28787,6.50253,0.226336,3.14227,12.3047,12.3126
20000000,1024,6.56182,0.338368,6.54845,15.6828,115.901,7.92182,0.574944,0.009792,10.2391,10.247,12.9072,0.443776,6.228,23.6056,23.6148
30000000,1024,9.68483,0.469568,9.29482,22.435,83.9621,13.4527,1.2319,0.011904,16.5687,16.5781,20.4631,0.653728,9.31942,35.2556,35.2651
40000000,1024,12.8863,0.616832,12.4225,29.0398,91.2367,18.724,1.63827,0.010592,22.2659,22.2744,27.7946,0.86736,12.4555,46.0156,46.0251
50000000,1024,16.1296,0.765824,15.4866,60.6524,149.938,21.3463,1.67546,0.010496,25.6852,25.6944,33.8254,1.09184,15.5216,55.6535,55.6622
60000000,1024,19.3301,0.924992,18.5583,42.8709,105.517,25.4769,1.70704,0.010976,40.5844,40.5929,38.554,1.32214,18.5743,65.6117,65.6206
70000000,1024,22.6296,1.07424,21.6424,49.6645,110.514,29.4512,1.9896,0.010048,35.136,35.1445,46.0246,1.53939,21.6719,75.0947,75.1034
80000000,1024,25.7163,1.22186,24.7071,55.0786,117.282,34.8574,2.27174,0.010752,39.3037,39.3114,54.0412,1.75837,24.7372,86.4516,86.4596
90000000,1024,28.8526,1.37197,27.8012,61.5724,128.421,38.8211,2.55846,0.013408,45.2708,45.2836,59.7637,1.97603,28.0426,97.1627,97.1709
100000000,1024,32.0219,1.52352,31.0834,77.9718,186.438,42.1759,2.83677,0.0104,49.7349,49.7441,66.3861,2.19715,30.9138,107.607,107.615
