size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26973,0.168928,3.15312,8.03917,71.211,3.63283,0.292448,0.010944,5.28726,5.295,6.50771,0.222688,3.14966,12.2845,12.2923
20000000,1024,6.4617,0.321344,6.22934,15.3472,76.5557,7.53606,0.575136,0.01072,9.8015,9.80932,12.903,0.442144,6.23293,23.6596,23.668
30000000,1024,9.66403,0.471232,9.33184,21.4275,87.2538,14.4893,1.23165,0.011488,17.5183,17.5265,20.9902,0.651424,9.32698,34.1131,34.1218
40000000,1024,12.9726,0.61424,12.4461,60.9483,174.361,19.6684,1.6153,0.01136,23.1826,23.1911,27.8521,0.867232,12.4387,46.3168,46.3261
50000000,1024,16.0644,0.768064,15.5559,36.9578,100.666,21.2636,1.54118,0.011456,24.9301,24.9382,33.6968,1.09571,15.4894,55.2229,55.2311
60000000,1024,19.2784,0.913888,18.6241,42.0743,102.913,28.9347,2.45514,0.01168,35.0475,35.0572,40.7327,1.31747,18.5807,66.4338,66.4426
70000000,1024,22.4575,1.06749,21.6525,48.5391,114.6,30.1286,2.12144,0.010944,35.95,35.9593,46.2081,1.53533,21.6841,75.2818,75.2903
80000000,1024,25.7329,1.22518,24.6475,56.0607,120.221,34.7163,2.27283,0.012384,39.2014,39.2098,54.042,1.75875,24.6581,86.3923,86.4005
90000000,1024,28.8543,1.37331,28.267,62.644,131.787,38.8044,2.55405,0.00992,45.1186,45.1276,59.028,1.9759,28.0654,97.1361,97.1446
100000000,1024,32.2602,1.52394,30.8856,68.2636,169.4,43.8969,2.83635,0.010944,49.069,49.0765,68.4463,2.19642,30.923,107.578,107.586
