size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.2705,0.169312,3.14515,8.0032,108.651,3.6495,0.291296,0.009984,5.29005,5.29822,6.50893,0.227104,3.14326,12.3541,12.3625
20000000,1024,6.45885,0.32304,6.2223,14.8144,73.8178,7.87872,0.574176,0.01024,10.178,10.1861,12.8935,0.443776,6.22294,22.6149,22.6232
30000000,1024,9.69469,0.470016,9.35142,21.4175,80.8985,14.5144,1.2287,0.010592,17.5377,17.546,20.6551,0.654336,9.34762,35.2635,35.2732
40000000,1024,12.8836,0.614912,12.419,29.0029,132.391,17.9562,1.61539,0.011008,23.1935,23.2034,26.3573,0.874304,12.6395,56.984,56.9934
50000000,1024,16.089,0.768928,15.4694,35.8683,106.172,21.2924,1.53101,0.010048,24.7743,24.782,33.7256,1.09674,15.488,55.2642,55.2728
60000000,1024,19.256,0.92128,18.4846,41.9423,102.854,24.8695,1.70749,0.011392,30.271,30.2796,38.6814,1.32128,18.5142,64.3438,64.3521
70000000,1024,22.4426,1.07126,21.5966,48.4765,122.068,29.4481,1.9897,0.010624,35.1523,35.1615,45.8171,1.53901,21.6127,75.8909,75.8996
80000000,1024,25.8671,1.21904,24.7261,55.2237,160.997,34.1679,2.27053,0.010496,40.1294,40.1381,53.0038,1.75827,24.7505,86.4853,86.494
90000000,1024,28.8311,1.37427,27.8017,61.8006,162.857,38.8139,2.5537,0.011776,45.1172,45.126,59.7182,1.97667,27.8437,96.9456,96.9539
100000000,1024,32.0612,1.52419,30.7612,67.9463,136.465,43.469,2.84275,0.01392,50.1764,50.1853,66.8271,2.19594,30.9163,107.38,107.389
