size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26605,0.168256,3.15043,8.008,70.0369,3.64451,0.292576,0.00912,5.28618,5.29392,6.50509,0.222048,3.14464,12.302,12.3103
20000000,1024,6.46816,0.322784,6.24432,14.8555,74.9707,7.88778,0.573376,0.009792,10.179,10.1874,12.9074,0.444736,6.22547,23.5919,23.6007
30000000,1024,9.66211,0.473248,9.3064,22.4354,89.684,11.4179,0.857984,0.01104,14.0792,14.0871,19.522,0.662944,9.31306,34.3326,34.3416
40000000,1024,12.8738,0.614752,12.4007,28.9682,90.8513,17.8628,1.46938,0.01168,21.2194,21.2278,27.4514,0.869888,12.4232,45.6292,45.6383
50000000,1024,16.2125,0.764992,15.7307,57.8995,124.397,25.0239,2.04717,0.01232,29.0659,29.0748,35.4297,1.08451,15.5468,56.9004,56.9101
60000000,1024,19.2548,0.922016,18.5625,41.9967,103.135,25.458,1.70656,0.01184,29.202,29.2104,40.5091,1.32131,18.5776,65.4471,65.4558
70000000,1024,22.5072,1.06419,21.6882,48.6113,110.132,34.196,2.86518,0.015072,40.8164,40.8263,48.2693,1.5129,21.7208,77.3608,77.37
80000000,1024,25.655,1.22118,24.7237,61.8315,127.128,34.1467,2.27222,0.011936,40.1166,40.1253,52.9566,1.75846,24.7646,85.3726,85.3811
90000000,1024,28.8365,1.37171,27.7945,61.5421,122.868,38.8098,2.55526,0.01056,45.2416,45.2502,59.0343,1.97715,27.8472,96.9476,96.9558
100000000,1024,32.0947,1.52387,30.8843,99.5053,173.582,43.4795,2.83648,0.011552,50.1287,50.1379,66.1693,2.19539,30.9269,107.482,107.491
