size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.5496,0.1952,3.43392,9.48451,134.541,3.82259,0.417376,0.009952,6.11219,6.12339,6.53002,0.220096,3.16243,12.9048,12.9135
20000000,1024,6.48954,0.322848,6.27005,14.8897,114.612,9.31533,0.822368,0.01072,11.8774,11.886,13.4317,0.439232,6.25523,53.5002,53.5153
30000000,1024,9.7535,0.471872,9.34202,22.0193,85.4796,14.4558,1.22931,0.01248,17.5337,17.5423,20.7771,0.650464,9.57965,34.182,34.1906
40000000,1024,12.8877,0.617632,12.4336,40.7675,144.54,18.6113,1.6368,0.012448,22.8888,22.8975,27.9373,0.86688,12.4458,45.8872,45.8966
50000000,1024,16.0605,0.763008,15.5123,35.511,99.7564,24.111,2.04099,0.016192,28.1289,28.1373,35.1164,1.08381,15.5458,56.711,56.7203
60000000,1024,19.2357,0.924832,18.5596,60.1253,129.418,24.548,1.70694,0.010944,30.0556,30.0649,38.6772,1.32086,18.5792,76.8807,76.8895
70000000,1024,22.4369,1.07603,21.6883,48.5332,112.371,29.5785,1.9889,0.011008,35.2312,35.24,45.8185,1.53971,21.6854,74.889,74.897
80000000,1024,25.8661,1.23424,24.7328,55.294,154.086,34.1584,2.27664,0.015296,51.957,51.9664,51.8868,1.76736,24.8521,85.314,85.3223
90000000,1024,28.9759,1.3712,27.808,91.8482,206.107,38.8086,2.55312,0.0112,45.125,45.1338,59.7113,1.97773,27.8523,96.9121,96.9206
100000000,1024,32.0533,1.52522,30.883,68.0924,128.944,44.1057,2.83779,0.012128,49.3034,49.3109,68.3466,2.19738,31.124,107.697,107.705
