size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.38541,0.16896,3.14794,10.4264,78.1002,3.6456,0.295488,0.009792,5.30659,5.31435,6.49853,0.222752,3.1441,12.2973,12.3049
20000000,1024,6.45808,0.322624,6.23069,14.8338,74.7889,7.91482,0.580672,0.010624,10.21,10.2177,12.8799,0.442784,6.22739,22.5738,22.5813
30000000,1024,9.6847,0.469376,9.33565,22.4721,81.9755,12.7552,1.2336,0.010528,17.5556,17.5653,19.5916,0.65328,9.3535,34.6099,34.6191
40000000,1024,12.8626,0.616064,12.4105,27.9091,123.55,19.5459,1.58979,0.01104,36.8527,36.8613,25.9062,0.867936,12.435,45.5033,45.5128
50000000,1024,16.058,0.768096,15.475,61.7487,152.469,21.3229,1.52832,0.010624,25.3757,25.3838,33.9807,1.09818,15.4899,55.2576,55.2661
60000000,1024,19.2626,0.91488,18.5858,42.0389,102.314,28.9297,2.45402,0.010432,35.046,35.0552,40.7874,1.31245,18.5732,66.4777,66.4869
70000000,1024,22.6625,1.06573,21.6701,48.7306,141.781,31.0745,2.19741,0.0144,35.4829,35.4913,46.8886,1.52998,21.6836,76.4521,76.4605
80000000,1024,25.656,1.22269,24.7302,55.031,115.906,34.3945,2.30141,0.017856,40.5701,40.5789,53.0213,1.75722,24.7621,85.5383,85.5469
90000000,1024,28.9376,1.37021,28.0087,93.6065,156.157,39.3745,2.57181,0.011328,48.2273,48.2357,60.3526,1.97853,27.8361,97.1986,97.2073
100000000,1024,32.1857,1.52202,30.8787,99.4438,208.833,43.5727,2.85421,0.011104,50.3317,50.3409,67.3365,2.19405,31.118,106.649,106.656
