size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26682,0.171008,3.14845,8.02493,68.9301,3.65712,0.29728,0.011008,5.29926,5.30723,6.51472,0.223904,3.15338,12.3183,12.3269
20000000,1024,6.46893,0.322112,6.24774,14.8426,74.1404,7.94874,0.580096,0.00992,10.2214,10.2294,12.9114,0.443104,6.31382,23.7072,23.716
30000000,1024,9.66208,0.471232,9.30813,34.0361,101.979,10.6899,0.868576,0.011456,15.362,15.3713,19.2999,0.661344,9.30813,33.5342,33.5428
40000000,1024,12.8828,0.617728,12.4193,27.9385,90.8765,19.7713,1.63856,0.010368,23.2878,23.2958,28.0301,0.86736,12.4553,46.0033,46.0125
50000000,1024,16.055,0.769312,15.4777,35.528,105.88,20.7663,1.5296,0.01152,24.8941,24.9032,32.8886,1.09744,15.4916,55.2422,55.2511
60000000,1024,19.2732,0.923328,18.7713,43.1822,150.821,22.2668,1.72406,0.009792,28.7428,28.751,40.5426,1.32154,18.5863,65.515,65.5238
70000000,1024,22.6697,1.07283,21.6505,48.918,152.778,29.8771,2.01078,0.010272,34.2433,34.2509,47.6957,1.53888,21.8748,76.2363,76.2449
80000000,1024,25.7291,1.22912,24.7265,56.0942,121.772,34.8781,2.29597,0.011552,39.354,39.3622,54.7801,1.75818,24.7581,86.5025,86.5109
90000000,1024,28.8549,1.37104,27.7083,61.4845,127.215,38.9798,2.57146,0.010208,45.3205,45.3287,59.7788,1.97587,27.9798,97.1227,97.131
100000000,1024,32.08,1.52454,30.885,68.6756,131.009,44.2274,2.85581,0.011072,49.4632,49.4714,68.3397,2.19629,31.1173,107.856,107.864
