size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26442,0.167456,3.14374,7.96938,66.7321,3.65955,0.292544,0.010048,5.27664,5.28431,6.50198,0.22256,3.1503,12.2438,12.2515
20000000,1024,6.46262,0.324416,6.22275,15.3198,81.2187,7.55418,0.576576,0.010496,9.80592,9.81421,12.9151,0.444768,6.22416,23.666,23.6747
30000000,1024,9.66035,0.473184,9.27315,21.3547,83.3907,12.4944,0.856192,0.009728,15.1764,15.1843,19.9293,0.6624,9.27507,33.076,33.0836
40000000,1024,12.9709,0.61648,12.4274,29.7433,125.424,17.9061,1.63933,0.011328,23.1317,23.1411,26.3783,0.868064,12.4483,44.9268,44.9366
50000000,1024,16.2149,0.763776,15.5108,67.9203,172.587,23.8799,2.04477,0.0104,28.0311,28.0395,35.1529,1.0833,15.7463,57.4088,57.4184
60000000,1024,19.2443,0.9176,18.5579,41.8876,101.577,25.5027,1.70534,0.010176,29.1793,29.1873,40.5181,1.31904,18.5882,65.4316,65.4399
70000000,1024,22.6644,1.07344,21.6408,48.7442,153.429,29.4505,1.98886,0.010368,35.1392,35.1479,45.8167,1.53946,22.123,75.3714,75.3803
80000000,1024,25.7052,1.22518,24.7223,56.0465,116.465,34.8475,2.27139,0.01072,39.2859,39.2932,54.0108,1.75667,24.7624,86.4377,86.4455
90000000,1024,29.0578,1.37478,27.8041,93.2668,165.999,39.2442,2.55942,0.017344,44.179,44.188,61.2421,1.98019,27.8542,97.0759,97.0848
100000000,1024,32.2301,1.53197,30.8928,68.2721,171.804,43.4811,2.83843,0.009984,50.6908,50.6995,66.7902,2.19616,30.9143,107.484,107.493
