size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.27008,0.171392,3.1415,8.04653,107.248,3.86378,0.295776,0.010272,5.52182,5.52997,6.5177,0.228864,3.15837,12.4822,12.4915
20000000,1024,6.74739,0.32304,6.23258,15.5741,118.111,7.93616,0.581056,0.011104,37.8203,37.8282,12.897,0.444032,6.23654,24.3961,24.4052
30000000,1024,9.67056,0.468736,9.32989,22.465,84.4054,12.6958,1.2343,0.01056,17.4928,17.502,19.569,0.65184,9.35114,34.5722,34.5816
40000000,1024,12.888,0.61696,12.4263,28.5233,96.7668,19.6536,1.61056,0.010624,23.1775,23.1858,27.9932,0.867392,12.4459,45.9624,45.9716
50000000,1024,16.0698,0.76704,15.4833,65.5107,126.215,21.5683,1.53574,0.011392,25.0414,25.0496,33.7408,1.09837,15.5023,70.61,70.6293
60000000,1024,19.2347,0.922528,18.553,43.0075,110.281,24.0821,1.7255,0.011104,29.1351,29.1436,40.5667,1.32131,18.5766,72.2348,72.2433
70000000,1024,22.451,1.0713,21.6468,48.525,116.035,30.3638,2.00973,0.010464,34.4666,34.4754,47.7478,1.54013,21.6708,76.0929,76.1017
80000000,1024,25.6534,1.22339,24.9289,55.3581,149.466,34.7963,2.29597,0.012064,39.2727,39.2814,54.8391,1.75926,24.9525,86.7438,86.752
90000000,1024,28.8553,1.37158,27.7968,61.5762,123.502,38.9868,2.57133,0.010368,45.4127,45.4216,59.8139,1.97619,27.8456,97.0429,97.0516
100000000,1024,32.0519,1.52154,30.8958,68.1038,133.523,43.7653,2.8553,0.011296,50.5254,50.5344,66.9326,2.19504,31.1133,107.701,107.709
