size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26688,0.169088,3.15907,8.01994,67.387,3.65542,0.294944,0.010048,5.3168,5.32464,6.5049,0.228064,3.15264,12.3899,12.3988
20000000,1024,6.46192,0.322912,6.22314,14.8168,77.3835,7.94198,0.582272,0.010048,10.2228,10.2309,12.8981,0.443136,6.21635,22.5695,22.5777
30000000,1024,9.65862,0.47248,9.30038,22.1563,111.808,12.7717,0.865792,0.009984,15.4419,15.45,19.7661,0.661952,9.31328,32.8944,32.9019
40000000,1024,12.8651,0.616576,12.4241,29.0012,121.476,18.1663,1.64166,0.01056,23.4157,23.4253,26.3784,0.865984,12.4461,44.8143,44.8235
50000000,1024,16.4333,0.76736,15.4699,41.9246,143.877,20.4553,1.53549,0.01296,25.2892,25.2974,33.9945,1.09664,15.4958,55.2862,55.2946
60000000,1024,19.2565,0.921536,18.4853,41.923,102.645,25.1206,1.72419,0.01088,30.5061,30.5146,38.7715,1.32246,18.5067,65.4577,65.4667
70000000,1024,22.4358,1.07315,21.6432,48.7518,152.136,22.4521,2.00323,0.01056,58.8351,58.8425,47.7097,1.53974,21.6746,76.0597,76.0679
80000000,1024,25.6534,1.22259,24.9317,61.8447,156.9,34.3948,2.29552,0.011072,39.0868,39.0947,54.809,1.75558,24.9479,86.6875,86.6953
90000000,1024,28.8224,1.37197,27.803,61.5425,125.323,39.5266,2.57674,0.013696,44.4488,44.4574,61.1723,1.97539,28.0389,97.1302,97.1385
100000000,1024,32.0546,1.52339,30.8821,68.1035,163.07,43.7532,2.85498,0.01088,50.4163,50.4249,66.8528,2.19568,31.041,107.599,107.607
