size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26269,0.168448,3.15373,7.99741,74.7758,3.2559,0.295904,0.010112,5.53702,5.54582,6.50451,0.22304,3.15117,12.2853,12.2938
20000000,1024,6.52982,0.335648,6.2769,15.3983,111.262,7.91808,0.581056,0.010912,10.2226,10.2309,13.0144,0.442624,6.22826,22.7405,22.7484
30000000,1024,9.68739,0.46912,9.33152,51.1512,153.963,14.515,1.23485,0.012096,17.5316,17.54,20.814,0.650112,9.33699,33.9187,33.9267
40000000,1024,12.8754,0.616352,12.4128,29.024,93.3576,18.2589,1.64118,0.011392,23.5104,23.5205,26.3582,0.867456,12.4494,44.8271,44.8366
50000000,1024,16.0561,0.769216,15.4835,34.4781,98.3969,22.5206,1.52938,0.011808,26.0353,26.0436,33.9489,1.09757,15.4948,55.4749,55.489
60000000,1024,19.3171,0.924352,18.5644,42.7797,104.62,25.0741,1.7248,0.010624,30.4478,30.4566,38.7351,1.32019,18.5993,64.4657,64.4746
70000000,1024,22.4559,1.072,21.6463,48.5595,113.725,30.0057,2.01578,0.016512,34.3469,34.3555,47.7137,1.53693,21.6747,76.0826,76.0918
80000000,1024,25.6564,1.22336,24.9254,83.5356,179.436,34.0621,2.29248,0.018816,40.0574,40.0676,53.2513,1.75706,24.7556,85.6447,85.653
90000000,1024,28.9877,1.37174,27.8235,62.2596,168.419,39.4659,2.57536,0.013792,44.3181,44.3258,61.3228,1.97642,27.8518,97.0863,97.095
100000000,1024,32.0235,1.52317,30.881,68.1994,132.358,44.1492,2.85555,0.011424,49.358,49.3658,68.3173,2.19594,31.117,107.66,107.668
