size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.41939,0.178048,3.21731,40.5095,117.708,3.25885,0.295168,0.011136,6.85328,6.86282,6.49869,0.221824,3.13837,12.2617,12.2696
20000000,1024,6.4728,0.324768,6.2528,44.6542,104.029,7.87514,0.58256,0.010592,10.3183,10.3268,12.9252,0.44208,6.22477,22.5889,22.5983
30000000,1024,9.77168,0.47136,9.33574,23.1396,83.8478,13.4588,1.2327,0.010688,16.4876,16.4958,20.2448,0.650176,9.55296,35.2387,35.2481
40000000,1024,12.882,0.617888,12.4165,29.4239,125.671,12.9052,1.64054,0.010848,49.1151,49.1245,26.4029,0.86736,12.4375,44.7987,44.808
50000000,1024,16.0756,0.763904,15.5108,35.5705,107.51,24.0976,2.04816,0.01184,28.1135,28.122,35.1241,1.08122,15.5434,56.7286,56.7379
60000000,1024,19.2562,0.921184,18.5593,41.9734,108,25.6082,1.72483,0.0112,37.7472,37.7551,39.4484,1.3239,18.58,65.2044,65.2134
70000000,1024,22.458,1.07283,21.5685,48.634,115.697,29.6932,2.01062,0.011136,35.3941,35.4029,45.8873,1.53939,21.5924,74.9751,74.9836
80000000,1024,25.7086,1.22352,24.7335,87.3446,170.334,34.264,2.29514,0.011776,40.2916,40.3008,52.8846,1.75866,24.7615,85.5418,85.5504
90000000,1024,28.8238,1.36845,27.8089,61.4917,123.635,39.4404,2.56941,0.011008,44.246,44.2541,61.1765,1.9784,28.03,97.1573,97.1652
100000000,1024,32.2603,1.52371,30.78,84.9822,181.272,42.3774,2.85661,0.01168,50.1973,50.208,66.9266,2.19427,30.8095,107.495,107.504
