size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26042,0.169088,3.14358,7.9881,104.689,3.65942,0.293984,0.010528,5.28269,5.29086,6.71242,0.225184,3.1625,12.5178,12.5265
20000000,1024,6.46224,0.32272,6.22198,14.8031,79.3856,7.88666,0.573472,0.009248,10.1659,10.1739,12.9001,0.444064,6.42035,22.7686,22.7765
30000000,1024,9.66144,0.473728,9.27616,22.4172,83.3444,11.4106,0.856704,0.00992,14.0892,14.0973,19.5306,0.664224,9.27907,34.3289,34.3377
40000000,1024,12.9437,0.61824,12.6185,29.9144,118.536,18.0524,1.63619,0.010976,23.3014,23.3107,26.3741,0.86656,12.444,44.7994,44.8084
50000000,1024,16.2668,0.764384,15.4879,35.6934,139.473,21.3524,1.66637,0.013376,25.663,25.6725,33.2498,1.09104,15.5025,55.6089,55.6184
60000000,1024,19.2588,0.91776,18.5562,42.055,146.916,24.9212,1.70733,0.010688,30.2557,30.2644,38.7262,1.32003,18.5798,65.4842,65.4925
70000000,1024,22.4558,1.07421,21.8497,48.7102,147.812,29.4889,1.98912,0.011232,49.1577,49.1666,45.8544,1.54166,21.8687,75.0434,75.0524
80000000,1024,25.6542,1.22336,24.7202,55.0569,118.049,34.2418,2.27347,0.01152,40.332,40.3417,51.2914,1.75843,24.7538,86.5213,86.5297
90000000,1024,28.8576,1.37107,27.742,61.4679,121.451,39.5132,2.55498,0.011136,44.3231,44.3312,61.2175,1.97779,27.9688,97.1285,97.1368
100000000,1024,32.0525,1.52384,30.8859,68.093,128.666,43.9967,2.8361,0.010176,49.1678,49.1753,68.2836,2.19427,31.1187,107.613,107.621
