size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26826,0.167616,3.14685,7.99837,67.9367,3.66374,0.295744,0.010272,5.31782,5.3256,6.50762,0.227968,3.14435,12.3899,12.3989
20000000,1024,6.58093,0.323488,6.22086,15.4485,83.456,7.56723,0.581888,0.010496,9.81082,9.81861,12.9136,0.443776,6.22186,23.7294,23.7383
30000000,1024,9.6607,0.47264,9.30736,21.353,123.95,12.6798,0.868544,0.013952,15.3492,15.357,19.7731,0.661888,9.31155,32.9009,32.9091
40000000,1024,12.8846,0.617568,12.4224,27.9646,89.0087,19.8586,1.64058,0.012768,23.4332,23.4419,28.0438,0.868288,12.4517,46.0226,46.0322
50000000,1024,16.0578,0.76784,15.6675,35.6593,127.547,20.6876,1.52778,0.009984,38.2591,38.2686,32.12,1.09738,15.4973,54.9546,54.9641
60000000,1024,19.2564,0.921888,18.556,42.0793,105.062,25.0176,1.72595,0.010976,30.4045,30.4134,38.7778,1.32048,18.6611,64.5441,64.5525
70000000,1024,22.4571,1.0713,21.5671,48.4946,109.097,29.3023,2.01632,0.015968,35.5055,35.5155,45.9267,1.5383,21.5907,74.884,74.893
80000000,1024,25.6569,1.22112,24.7289,56.1572,115.784,34.189,2.2952,0.010624,40.2342,40.2433,53.0354,1.75718,24.7575,86.4806,86.489
90000000,1024,28.8524,1.37059,27.8036,61.5522,122.946,39.6758,2.57235,0.012064,44.4854,44.4933,61.2412,1.97715,27.8416,97.0279,97.0357
100000000,1024,32.1666,1.52294,31.0082,68.3126,142.629,43.8726,2.85661,0.01072,78.3505,78.3592,66.7361,2.19549,31.1172,107.635,107.643
