size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.39747,0.167328,3.14016,8.13226,68.2853,3.65763,0.295456,0.010016,5.30227,5.3101,6.50557,0.2272,3.14256,12.3541,12.3622
20000000,1024,6.46138,0.3224,6.2215,14.7968,77.3611,7.94573,0.581056,0.009696,10.2143,10.2223,12.8974,0.443808,6.2144,22.5514,22.5593
30000000,1024,9.67389,0.472704,9.3039,22.4269,85.4907,11.4856,0.867168,0.010208,14.1588,14.1673,19.6477,0.652992,9.3359,34.4464,34.4562
40000000,1024,12.9732,0.619104,12.4486,28.7225,90.6713,19.7698,1.63997,0.011232,23.3054,23.314,28.0145,0.86752,12.4502,45.9931,46.0024
50000000,1024,16.1819,0.766816,15.4725,43.3372,148.016,19.3722,1.52982,0.011008,24.5585,24.5685,32.9206,1.09926,15.6987,55.484,55.4936
60000000,1024,19.235,0.926496,18.5636,41.9554,101.384,25.5931,1.7249,0.010368,29.3211,29.3291,40.5737,1.32118,18.5808,65.4932,65.5015
70000000,1024,22.6964,1.06122,21.712,55.3025,159.829,32.8338,2.86381,0.011296,39.9328,39.9432,48.197,1.51453,21.9512,77.5384,77.5475
80000000,1024,25.8994,1.22195,24.7213,55.6238,152.242,34.7894,2.29542,0.011136,48.3769,48.3853,52.9776,1.75811,24.9688,86.2493,86.258
90000000,1024,28.8521,1.3687,27.7979,61.5243,123.128,38.9852,2.57088,0.012032,45.3019,45.311,59.7548,1.97629,28.0417,97.1602,97.1684
100000000,1024,32.3218,1.52278,30.8896,99.0162,161.494,43.6173,2.85648,0.011872,50.2512,50.2602,66.9982,2.19571,30.9195,107.725,107.733
