size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.33254,0.186688,3.26429,8.75123,70.2739,3.4303,0.291424,0.011104,5.25421,5.26362,6.49872,0.22304,3.13411,12.2935,12.3021
20000000,1024,6.4687,0.32384,6.23622,15.3331,74.0218,7.55219,0.574816,0.009856,9.79309,9.80106,12.9144,0.445504,6.23818,23.6903,23.6988
30000000,1024,9.68,0.47024,9.33584,21.3848,109.942,14.4989,1.23363,0.011712,38.4939,38.5047,19.5895,0.65296,9.34682,36.2556,36.268
40000000,1024,12.8848,0.616032,12.4165,27.9304,87.6682,19.8652,1.61648,0.011872,23.3735,23.3826,27.8771,0.867872,12.4396,45.8404,45.8502
50000000,1024,16.0574,0.765696,15.49,35.503,97.0696,21.3363,1.61315,0.010336,25.5354,25.5444,33.6652,1.09309,15.5049,55.4945,55.5039
60000000,1024,19.3081,0.923648,18.7578,72.1029,138.261,24.7814,1.70685,0.010848,30.1446,30.1536,38.6776,1.32259,18.5784,65.8716,65.8805
70000000,1024,22.7592,1.07459,21.6443,49.662,147.317,30.0001,1.98806,0.01088,49.5873,49.598,44.9172,1.53859,21.8859,75.7774,75.7882
80000000,1024,25.6592,1.22291,24.726,55.0375,114.697,34.2708,2.27267,0.01072,40.2642,40.2728,52.6827,1.75782,24.7568,86.5101,86.5186
90000000,1024,28.8501,1.36691,27.791,61.4479,123.96,38.8521,2.55462,0.010784,45.1192,45.1276,59.7488,1.97626,28.0358,97.1477,97.1553
100000000,1024,32.0532,1.52339,30.8791,68.103,133.534,43.5172,2.84266,0.015008,50.2327,50.2416,66.2443,2.19667,31.1302,107.688,107.696
