size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26227,0.168896,3.14688,7.99078,68.1325,3.66179,0.295744,0.010688,5.3055,5.31337,6.5007,0.226688,3.13837,12.3396,12.3481
20000000,1024,6.4697,0.321888,6.24467,14.8488,73.5933,7.94966,0.580448,0.009856,10.2223,10.2301,12.9083,0.444032,6.23171,23.5988,23.6072
30000000,1024,9.73165,0.475168,9.3033,23.0707,84.4294,10.812,0.867232,0.010432,15.1997,15.2084,19.3232,0.662944,9.5081,33.7776,33.7867
40000000,1024,13.0016,0.610976,12.3646,33.4868,124.953,18.5446,1.61619,0.015392,23.0938,23.1048,27.8535,0.867616,12.3957,63.9351,63.9474
50000000,1024,16.0578,0.76816,15.4688,64.3217,160.698,20.578,1.5288,0.009984,24.8051,24.814,32.9228,1.09693,15.4745,55.2495,55.258
60000000,1024,19.2963,0.913472,18.5427,42.0074,101.924,28.8594,2.45395,0.010816,34.9656,34.9747,40.8204,1.30742,18.538,66.4688,66.4774
70000000,1024,22.4582,1.06038,21.8812,48.7773,136.856,31.5789,2.38141,0.013824,38.5617,38.5712,44.9989,1.52653,21.9109,76.1763,76.1846
80000000,1024,25.6545,1.22333,24.7243,55.244,118.363,34.991,2.30128,0.015264,39.5044,39.5126,54.0717,1.75619,24.7605,86.4851,86.4939
90000000,1024,28.8532,1.3712,27.6984,61.4739,121.865,39.1064,2.57091,0.010624,45.4235,45.4324,59.768,1.97539,27.7332,96.9607,96.9694
100000000,1024,32.2352,1.52314,30.8827,68.254,169.16,43.6759,2.85574,0.012992,50.3155,50.3245,66.3104,2.19693,30.9247,107.553,107.562
