size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.2655,0.169216,3.15008,7.97318,67.33,3.66272,0.292704,0.010816,5.28,5.28795,6.50387,0.223456,3.14352,12.273,12.2821
20000000,1024,6.46938,0.324,6.24413,14.8376,73.9014,7.89898,0.573472,0.010112,10.1804,10.189,12.8938,0.442976,6.21536,22.5752,22.583
30000000,1024,9.72832,0.489728,9.6249,54.2448,123.029,10.7434,0.857664,0.01024,15.1414,15.1502,19.3168,0.661984,9.31018,53.7029,53.7112
40000000,1024,12.8599,0.617152,12.6217,28.0683,113.629,19.7783,1.63814,0.010208,33.0098,33.0181,26.8306,0.867744,12.4563,45.4774,45.4868
50000000,1024,16.0588,0.762464,15.5204,35.5358,96.2169,23.3831,2.04765,0.013408,28.1309,28.1402,35.0015,1.0873,15.5502,56.8962,56.9054
60000000,1024,19.2626,0.914944,18.5428,42.0147,105.872,29.4902,2.45376,0.010944,33.9903,33.9986,42.537,1.30794,18.5452,67.4464,67.4556
70000000,1024,22.5351,1.06278,21.8809,49.7869,149.912,31.5768,2.38499,0.010432,52.0923,52.103,44.9934,1.52714,21.8761,75.5256,75.5365
80000000,1024,25.8431,1.22483,24.7276,63.0034,158.995,34.2986,2.27078,0.011072,38.996,39.0045,54.7197,1.75821,24.951,90.5283,90.5389
90000000,1024,28.8545,1.37242,27.8037,61.5536,125.271,39.4915,2.55376,0.010592,44.2866,44.2954,61.1996,1.97706,28.0441,97.1997,97.2083
100000000,1024,32.0342,1.52256,30.8819,68.1052,130.213,44.0721,2.83786,0.011424,49.2644,49.272,68.2777,2.19517,31.1246,107.618,107.627
