size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26838,0.167456,3.13331,31.5907,98.5224,3.25645,0.296768,0.01104,7.82064,7.82921,6.62282,0.225888,3.13488,14.1888,14.1977
20000000,1024,6.45866,0.322688,6.22554,15.3645,80.8361,7.55315,0.581504,0.010912,9.81555,9.82322,12.8986,0.444096,6.24013,23.7325,23.7415
30000000,1024,9.66109,0.470144,9.33098,22.4683,86.2057,12.6895,1.23686,0.011808,17.5167,17.5261,19.481,0.652768,9.34349,34.5382,34.5479
40000000,1024,12.8861,0.617728,12.4325,37.1409,125.781,18.1578,1.58224,0.015968,22.1269,22.1383,27.7874,0.866464,12.4463,45.7119,45.7211
50000000,1024,16.0938,0.762272,15.5039,35.5441,101.803,23.1659,1.96707,0.011072,32.7505,32.7604,34.1467,1.08717,15.5335,56.0849,56.0945
60000000,1024,19.2581,0.921504,18.7798,42.2276,120.719,24.9201,1.72486,0.0104,30.306,30.315,38.7743,1.32141,18.5834,65.5398,65.5485
70000000,1024,22.4505,1.07226,21.6442,48.5987,110.586,30.2314,2.00838,0.009984,34.5504,34.5583,44.8963,1.53862,21.6677,76.2494,76.2578
80000000,1024,25.6563,1.22202,24.7386,55.0379,114.783,34.5216,2.29555,0.011392,40.536,40.5453,53.0489,1.75933,24.7625,85.7586,85.7667
90000000,1024,28.8537,1.37117,27.8062,61.5591,124.006,39.6465,2.56579,0.009856,44.4622,44.4697,61.2016,1.97574,28.0342,97.18,97.1882
100000000,1024,32.0543,1.52141,30.8907,68.0951,127.03,43.7873,2.85584,0.010464,50.4315,50.4403,66.2128,2.19642,31.1258,107.659,107.666
