size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.68474,0.276032,0.018208,38.6644,127.025
20000000,1024,6.47674,0.502016,0.018688,9.77667,84.927
30000000,1024,9.70352,0.733856,0.017856,12.2469,74.767
40000000,1024,12.8867,0.96864,0.018848,16.7958,82.5606
50000000,1024,16.1233,1.20006,0.018752,41.5881,105.422
60000000,1024,19.4513,1.43334,0.019328,32.5647,136.144
70000000,1024,22.509,1.66368,0.018336,26.1699,88.1492
80000000,1024,25.7109,1.89453,0.018656,30.7001,91.7741
90000000,1024,28.9141,2.12819,0.021664,34.2249,129.891
100000000,1024,32.2409,2.35891,0.018656,37.935,100.364
