size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.336,0.281344,0.0208,35.514,119.93
20000000,1024,6.52704,0.510464,0.022816,9.29133,70.1221
30000000,1024,9.7112,0.732704,0.01952,43.8862,151.05
40000000,1024,12.9736,0.961344,0.019936,16.1312,82.5665
50000000,1024,16.1101,1.19005,0.01872,19.1945,85.4584
60000000,1024,19.3018,1.42157,0.018976,22.7036,90.9515
70000000,1024,22.6808,1.65267,0.019808,55.5483,161.767
80000000,1024,25.763,1.88118,0.020032,29.7155,92.4759
90000000,1024,28.9099,2.11229,0.019104,34.1686,95.3999
100000000,1024,32.2834,2.34304,0.019584,36.9876,138.299
