size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27779,0.262304,0.01328,5.17363,66.2036
20000000,1024,6.60378,0.51024,0.026336,41.7485,107.685
30000000,1024,9.6792,0.73008,0.018784,13.2703,75.8505
40000000,1024,12.8932,0.960416,0.018944,15.7306,79.3802
50000000,1024,16.2422,1.19178,0.018144,49.0845,109.395
60000000,1024,19.2973,1.42,0.018112,22.646,84.0868
70000000,1024,22.4813,1.65002,0.017376,26.1032,99.3961
80000000,1024,25.717,1.88003,0.017856,29.63,94.8866
90000000,1024,28.8825,2.10787,0.014944,34.0895,96.0086
100000000,1024,32.1255,2.34144,0.018496,37.6723,99.9394
