size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26854,0.26288,0.013856,5.21558,66.0826
20000000,1024,6.47536,0.499104,0.018048,8.72138,70.5945
30000000,1024,9.65978,0.734816,0.019232,12.1855,104.479
40000000,1024,12.9578,0.970816,0.024288,47.2012,118.455
50000000,1024,16.0871,1.19187,0.01952,19.1526,79.8593
60000000,1024,19.2951,1.4201,0.019584,22.6517,83.9452
70000000,1024,22.5013,1.6519,0.020448,26.2022,116.616
80000000,1024,25.6657,1.88278,0.019488,30.6725,124.78
90000000,1024,28.9126,2.11181,0.017952,34.1909,96.4144
100000000,1024,32.0544,2.3439,0.019104,37.5958,98.2477
