size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.28077,0.264416,0.012864,5.20998,73.4581
20000000,1024,6.48262,0.498368,0.017504,8.70304,77.3704
30000000,1024,9.6832,0.729408,0.018816,12.1974,74.8307
40000000,1024,12.8836,0.961408,0.019072,16.7589,81.6701
50000000,1024,16.2958,1.18906,0.019328,19.3761,119.183
60000000,1024,19.2766,1.41942,0.017984,22.6402,83.873
70000000,1024,22.5,1.65018,0.017952,26.1421,88.3243
80000000,1024,25.7077,1.88134,0.021184,29.6413,120.668
90000000,1024,28.8592,2.11043,0.018624,64.1811,166.296
100000000,1024,32.0859,2.33968,0.020288,37.6335,103.254
