size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.35059,0.282208,0.0224,39.2064,136.974
20000000,1024,6.60144,0.496224,0.021408,8.86387,68.6219
30000000,1024,9.69114,0.724992,0.017408,12.2051,74.1853
40000000,1024,12.9175,0.955136,0.01968,15.7349,82.0775
50000000,1024,16.0918,1.18579,0.016832,19.1916,81.6395
60000000,1024,19.2944,1.41533,0.017056,23.6951,84.8952
70000000,1024,22.4839,1.64429,0.018688,27.2072,90.5489
80000000,1024,25.6738,1.87197,0.0176,30.6297,96.2382
90000000,1024,29.0359,2.10349,0.019904,33.2396,132.698
100000000,1024,32.1146,2.33216,0.01824,36.5852,101.272
