size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.39027,0.262976,0.013792,5.31888,67.7059
20000000,1024,6.49213,0.498112,0.017536,8.73718,75.7568
30000000,1024,9.82442,0.729856,0.018752,12.3544,109.002
40000000,1024,12.8872,0.960096,0.019552,15.6839,81.7788
50000000,1024,16.057,1.19002,0.01776,19.1184,80.2058
60000000,1024,19.2969,1.42102,0.01952,22.6548,109.316
70000000,1024,22.4736,1.65222,0.019456,27.2268,127.878
80000000,1024,25.6926,1.88125,0.01872,30.6804,91.5276
90000000,1024,28.9139,2.11325,0.018912,34.1885,100.293
100000000,1024,32.1208,2.34278,0.0192,37.7054,106.776
