size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27222,0.266304,0.013376,5.1815,67.1745
20000000,1024,6.58912,0.503072,0.018688,8.85382,68.8196
30000000,1024,9.69258,0.735104,0.018176,12.1957,75.4957
40000000,1024,12.8628,0.968384,0.019072,16.7786,119.088
50000000,1024,16.0943,1.19958,0.018112,19.1702,86.3814
60000000,1024,19.2922,1.43242,0.018304,23.7149,85.1148
70000000,1024,22.7205,1.66474,0.019744,27.4187,110.894
80000000,1024,25.7064,1.89629,0.019968,43.9246,143.892
90000000,1024,28.9101,2.12762,0.018304,34.203,96.5408
100000000,1024,32.0893,2.36016,0.01856,37.6192,98.9555
