size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27616,0.26544,0.013952,5.17603,69.577
20000000,1024,6.59888,0.502784,0.018176,9.92678,93.7401
30000000,1024,9.70342,0.735776,0.018272,12.2375,111.156
40000000,1024,12.8725,0.972416,0.020928,16.7926,105.613
50000000,1024,16.1106,1.20122,0.019424,19.3034,110.948
60000000,1024,19.2926,1.43235,0.018464,23.7176,85.2837
70000000,1024,22.5595,1.66669,0.018688,26.2205,88.7184
80000000,1024,25.8943,1.90224,0.0192,61.552,161.358
90000000,1024,28.8886,2.12963,0.020576,33.2312,142.051
100000000,1024,32.1294,2.36147,0.019072,37.7371,100.526
