size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.272,0.263808,0.012832,5.15533,70.2473
20000000,1024,6.60288,0.499104,0.017312,8.87827,75.2809
30000000,1024,9.66253,0.730624,0.018752,12.397,73.9574
40000000,1024,12.985,0.962528,0.020512,16.3354,115.706
50000000,1024,16.0926,1.19136,0.017952,19.1669,81.02
60000000,1024,19.2773,1.42192,0.018528,23.7337,85.3977
70000000,1024,22.4946,1.65005,0.017504,31.1102,97.7932
80000000,1024,25.7086,1.88131,0.020896,42.2937,149.225
90000000,1024,28.9626,2.11098,0.018944,65.3579,171.54
100000000,1024,32.0534,2.34298,0.019968,37.7495,107.313
