size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.34352,0.265952,0.015648,5.67062,71.3809
20000000,1024,6.48493,0.498784,0.01744,8.73648,70.3491
30000000,1024,9.6704,0.729696,0.017792,12.2014,78.0741
40000000,1024,12.8857,0.95888,0.018272,15.6915,78.9007
50000000,1024,16.0901,1.19555,0.019072,19.1672,89.6513
60000000,1024,19.2982,1.42576,0.01744,23.7511,90.7215
70000000,1024,22.5841,1.64896,0.018848,52.812,164.254
80000000,1024,25.7047,1.88026,0.018528,56.6146,149.65
90000000,1024,28.8581,2.14586,0.02128,33.1554,137.709
100000000,1024,32.0891,2.34262,0.019776,37.6463,106.6
