size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.2785,0.269856,0.01392,5.30371,148.879
20000000,1024,6.48275,0.497024,0.017664,8.70554,68.6343
30000000,1024,9.69354,0.726784,0.018656,12.2386,73.7163
40000000,1024,12.8687,0.956032,0.015968,15.661,81.6618
50000000,1024,16.0974,1.18624,0.018112,34.1714,127.585
60000000,1024,19.3331,1.41331,0.017312,24.2811,125.239
70000000,1024,22.4697,1.64387,0.017824,26.1038,87.3733
80000000,1024,25.7028,1.87181,0.017184,30.6595,92.2711
90000000,1024,28.9074,2.1033,0.020352,34.2682,132.262
100000000,1024,32.2963,2.33411,0.019776,36.7465,127.743
