size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27235,0.264032,0.012448,5.2073,66.6519
20000000,1024,6.46806,0.498272,0.01856,8.70195,69.9538
30000000,1024,9.67098,0.730496,0.01792,35.3236,145.915
40000000,1024,12.8865,0.957344,0.018112,15.6902,77.1282
50000000,1024,16.0734,1.19155,0.020512,19.1623,116.754
60000000,1024,19.2957,1.42013,0.019264,22.6423,83.4129
70000000,1024,22.5042,1.65072,0.018368,26.1388,87.4572
80000000,1024,25.7115,1.88227,0.018976,29.649,92.185
90000000,1024,28.9227,2.11366,0.02,35.6797,141.963
100000000,1024,32.0832,2.34317,0.020576,37.6234,105.001
