size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.41453,0.265664,0.013568,35.7356,125.875
20000000,1024,6.47197,0.503808,0.020096,8.72406,72.4066
30000000,1024,9.69133,0.735104,0.019424,12.2262,73.2195
40000000,1024,12.9182,0.96704,0.01824,15.7431,77.6919
50000000,1024,16.1114,1.2015,0.018688,19.2108,87.2678
60000000,1024,19.2636,1.43219,0.020224,22.621,124.747
70000000,1024,22.7872,1.66451,0.019904,57.4621,122.893
80000000,1024,25.7721,1.89738,0.019392,29.7189,92.5022
90000000,1024,28.8862,2.12915,0.019264,34.1816,95.5547
100000000,1024,32.1207,2.35747,0.0192,37.7683,98.4941
