size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.39962,0.263488,0.01424,5.32867,65.1449
20000000,1024,6.47462,0.500128,0.017376,8.74566,75.2315
30000000,1024,9.79059,0.729248,0.018368,13.3936,79.0751
40000000,1024,12.8739,0.960672,0.018432,15.6856,76.5292
50000000,1024,16.0913,1.19181,0.01808,19.2053,81.1529
60000000,1024,19.5911,1.42298,0.020736,24.9725,134.307
70000000,1024,22.5041,1.65181,0.018976,27.2532,90.1213
80000000,1024,25.7015,1.88291,0.020224,29.6201,90.1465
90000000,1024,28.8618,2.11667,0.018624,37.5772,129.332
100000000,1024,32.3566,2.34115,0.019104,38.2342,138.331
