size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26496,0.261696,0.012768,5.14646,65.9633
20000000,1024,6.49619,0.496832,0.018336,8.74781,77.0636
30000000,1024,9.84166,0.74688,0.025344,46.8384,118.718
40000000,1024,12.8832,0.956608,0.020608,15.7229,76.72
50000000,1024,16.0752,1.18602,0.018624,19.1597,82.361
60000000,1024,19.2928,1.41443,0.018368,23.7017,90.3338
70000000,1024,22.5375,1.64595,0.125472,27.968,125.797
80000000,1024,25.7149,1.87376,0.018272,42.2383,137.935
90000000,1024,28.9088,2.10499,0.018208,34.1817,144.604
100000000,1024,32.0718,2.33386,0.018592,37.6337,105.561
