size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.32893,0.287392,0.020768,37.7261,131.878
20000000,1024,6.48384,0.502176,0.01824,8.74851,76.376
30000000,1024,9.68637,0.73472,0.017888,12.2338,77.3203
40000000,1024,12.8857,0.96768,0.018016,16.788,80.0256
50000000,1024,16.218,1.19779,0.0184,50.9905,156.55
60000000,1024,19.2988,1.43168,0.01936,23.748,84.3751
70000000,1024,22.5044,1.66442,0.019008,27.2486,92.1608
80000000,1024,25.71,1.89613,0.020512,52.5047,120.361
90000000,1024,28.9059,2.16819,0.0208,34.2824,133.443
100000000,1024,32.0881,2.36134,0.018176,36.5862,98.8041
