size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.3985,0.263008,0.012672,5.29504,68.4735
20000000,1024,6.47485,0.497248,0.019168,8.7272,75.303
30000000,1024,9.72614,0.740512,0.023552,41.8685,102.502
40000000,1024,12.865,0.955808,0.01872,15.6819,110.608
50000000,1024,16.0669,1.18643,0.016064,19.1528,85.8683
60000000,1024,19.2943,1.41702,0.019168,22.6799,91.8653
70000000,1024,22.6103,1.66278,0.018848,57.2038,141.91
80000000,1024,25.6929,1.8961,0.020224,29.6732,140.664
90000000,1024,28.9153,2.12618,0.019328,34.1994,96.4249
100000000,1024,32.1279,2.35878,0.017952,37.6898,99.0217
